School Code,School Name,District Name,Block,Enrolled Students,Electricity Available,Drinking Water Facility,Separate Girls Toilet,Boys Toilet,Mid Day Meal Served,Grain Quantity Procured,Procurement Unit,Attendance Rate,Average Marks,Annual Dropout Rate
SCH-1024,Govt High School 24,East Coast,Block Epsilon,496,false, ha ,1,Hai,1,28.8,quintal,89.6%,71.4,10.3
SCH-1025,Model Primary School 25,East Coast,Block Beta,190,0,Yes,Nahi,Hai,Hai,32.3,quintal,60.9,39.0,19.0
SCH-1026,Adarsh Vidyalaya 26,North Valley,Block Gamma,439,  Yes  ,true,0,  Yes  ,true,33.0,Qtl,48.2,85.6,8.5
SCH-1027,Zila Parishad School 27,East Coast,Block Gamma,526,false,true,Y,0,false,1040.6,kg,80.3%,83.3,15.8
SCH-1028,Model Primary School 28,East Coast,Block Delta,151,  Yes  ,N,false,N,  Yes  ,6.1,quintal,90.6,45.5,20.0
SCH-1029,Model Primary School 29,West Plain,Block Delta,258,false,false,No,0,true,2.0,quintal,57.5,66.2,13.8
SCH-1030,Model Primary School 30,Central Zila,Block Delta,253,  Yes  ,Y,No,true,  Yes  ,2243.6,KG,47.0,44.6,22.9
SCH-1031,Govt High School 31,South Hill,Block Delta,705,Y,Nahi,0,  Yes  ,false,2570.5,kg,62.7,68.3,25.2
SCH-1032,Govt High School 32,West Plain,Block Beta,260, ha ,true,Nahi,Yes,true,3227.7,kg,48.6%,54.3,15.6
SCH-1033,Adarsh Vidyalaya 33,West Plain,Block Epsilon,596,0,true,Nahi,1, ha ,17.7,quintal,56.0,73.2,15.3
SCH-1034,Adarsh Vidyalaya 34,West Plain,Block Alpha,372,Hai,No,N,N,true,6.6,Quintals,54.5,29.0,12.3
SCH-1035,Zila Parishad School 35,North Valley,Block Beta,510,0,false, ha ,Yes,false,1774.0,Kilograms,92.9,81.2,23.6
SCH-1036,Sarvodaya Kanya School 36,Central Zila,Block Beta,579,Hai,No,0,Nahi,Yes,1309.2,Kilograms,78.7,54.4,4.9
SCH-1037,Govt High School 37,West Plain,Block Epsilon,657,  Yes  ,Yes,Y,  Yes  ,0,3060.6,kg,51.8,53.6,10.4
SCH-1038,Adarsh Vidyalaya 38,West Plain,Block Gamma,163,Nahi,Yes, ha ,true,Yes,9.4,Qtl,0.46,27.0,8.1
SCH-1039,Sarvodaya Kanya School 39,South Hill,Block Beta,209,Nahi,  Yes  ,Y,false,Hai,2508.2,Kilograms,83.4,72.1,4.5
SCH-1040,Adarsh Vidyalaya 40,North Valley,Block Epsilon,106,No,false,  Yes  ,0,0,854.5,KG,74.0,68.9,9.5
SCH-1041,Govt High School 41,Central Zila,Block Alpha,435,true,0,  Yes  ,N,Y,2.34,Ton,42.7,52.3,11.1
SCH-1042,Zila Parishad School 42,Lake Plateau,Block Beta,525,1, ha ,true,  Yes  ,No,2.87,Ton,71.1,71.1,8.6
SCH-1043,Govt High School 43,East Coast,Block Delta,329,Nahi,false,false,  Yes  ,0,2.9,Qtl,88.0,75.3,10.5
SCH-1044,Adarsh Vidyalaya 44,Central Zila,Block Alpha,609,Hai,Y,Hai, ha ,0,2032.1,Kilograms,55.0,53.2,2.0
SCH-1045,Zila Parishad School 45,Lake Plateau,Block Beta,393,  Yes  ,false,N,Nahi,true,1.33,Ton,95.8,53.6,9.6
SCH-1046,Model Primary School 46,East Coast,Block Alpha,628, ha ,1,Hai,Hai, ha ,1112.4,Kilograms,73.8,86.8,23.6
SCH-1047,Adarsh Vidyalaya 47,South Hill,Block Gamma,94, ha ,true,1,No,Yes,20.3,Quintals,79.7%,79.7,14.5
SCH-1048,Sarvodaya Kanya School 48,East Coast,Block Delta,570,Nahi,N,1,Yes,No,17.8,quintal,0.86,64.7,2.9
SCH-1049,Sarvodaya Kanya School 49,East Coast,Block Alpha,334,Y,true,0,false,false,22.4,quintal,83.9,43.7,17.1
SCH-1050,Sarvodaya Kanya School 50,Central Zila,Block Alpha,704, ha ,Y,Hai,  Yes  ,Hai,23.8,Qtl,0.51,25.2,13.4
SCH-1051,Adarsh Vidyalaya 51,North Valley,Block Beta,375, ha ,No, ha ,Nahi,Y,970.3,KG,56.3,75.6,6.7
SCH-1052,Model Primary School 52,Lake Plateau,Block Beta,352,1,Y,Yes,1,No,2.67,Ton,72.7,68.4,20.0
SCH-1053,Sarvodaya Kanya School 53,Central Zila,Block Delta,528,Y,false,Yes,0,Nahi,21.9,Qtl,100%,12.5,26.0
SCH-1054,Adarsh Vidyalaya 54,Central Zila,Block Alpha,259,Nahi,true,  Yes  ,Nahi,No,3489.9,kg,65.5,54.6,12.3
SCH-1055,Govt High School 55,South Hill,Block Gamma,501, ha ,Nahi,No,  Yes  ,0,27.1,quintal,44.0%,40.9,4.6
SCH-1056,Sarvodaya Kanya School 56,North Valley,Block Epsilon,553,0,Yes,Hai,true,N,2.7,Ton,75.8,59.6,26.1
SCH-1057,Zila Parishad School 57,North Valley,Block Alpha,725,false,Hai, ha ,1,No,0.25,Ton,64.0,32.1,26.6
SCH-1058,Model Primary School 58,West Plain,Block Gamma,601, ha ,No,0,Nahi,Nahi,1707.4,kg,49.8,72.0,5.1
SCH-1059,Zila Parishad School 59,East Coast,Block Epsilon,353,Yes,No, ha ,No,false,3.5,Ton,68.4%,58.9,10.6
SCH-1060,Sarvodaya Kanya School 60,West Plain,Block Delta,409,Hai, ha ,Hai,false,0,3024.8,kg,64.2,82.5,11.6
SCH-1061,Model Primary School 61,West Plain,Block Alpha,209,true,false,N,Y,Nahi,19.4,Quintals,66.7,66.3,5.6
SCH-1062,Adarsh Vidyalaya 62,East Coast,Block Epsilon,487,  Yes  ,Y,N,  Yes  ,true,3348.7,Kilograms,75.8,59.1,17.9
SCH-1063,Adarsh Vidyalaya 63,South Hill,Block Alpha,524,Y,  Yes  , ha ,Y,Nahi,2490.2,kg,90.8%,75.2,9.3
SCH-1064,Model Primary School 64,South Hill,Block Epsilon,501,false,  Yes  ,1,1,1,22.1,Quintals,62.7,61.7,7.7
SCH-1065,Zila Parishad School 65,East Coast,Block Alpha,556,No,  Yes  ,true,1,Y,3319.3,Kilograms,95.3,68.5,13.6
SCH-1066,Zila Parishad School 66,West Plain,Block Alpha,322,0,false,N,false,No,1174.3,KG,94.8,60.7,19.7
SCH-1067,Govt High School 67,Central Zila,Block Delta,373,Hai,false,N,Hai,  Yes  ,2248.9,kg,78.6,77.8,18.1
SCH-1068,Govt High School 68,East Coast,Block Delta,114,false,N, ha ,1,Y,12.8,Qtl,64.4,80.2,11.2
SCH-1069,Adarsh Vidyalaya 69,South Hill,Block Gamma,573,No, ha ,N,Y,Nahi,6.6,Quintals,94.2,86.7,27.1
SCH-1070,Adarsh Vidyalaya 70,North Valley,Block Delta,94,No,true,Y,Nahi,N,2671.7,KG,56.2,48.4,19.4
SCH-1071,Sarvodaya Kanya School 71,Central Zila,Block Gamma,704,Hai,  Yes  ,Y,  Yes  ,Nahi,1197.2,KG,64.0%,84.6,9.6
SCH-1072,Govt High School 72,South Hill,Block Epsilon,218,0,Nahi,N,  Yes  , ha ,3321.7,KG,64.6,51.1,4.1
SCH-1073,Zila Parishad School 73,East Coast,Block Alpha,459,Hai,Nahi,Nahi,Hai,N,34.4,Quintals,61.8,28.8,8.8
SCH-1074,Zila Parishad School 74,North Valley,Block Beta,737,  Yes  ,false,Yes,Yes,N,3463.1,kg,84.5,59.9,17.0
SCH-1075,Model Primary School 75,East Coast,Block Beta,690,Yes,No,1,1,true,28.4,Qtl,47.9,47.6,22.4
SCH-1076,Govt High School 76,South Hill,Block Gamma,133,1, ha ,0,true,Y,409.7,KG,66.2,53.5,7.4
SCH-1077,Sarvodaya Kanya School 77,East Coast,Block Delta,738,Yes,Yes,Nahi,0,0,556.3,KG,80.5,45.3,5.4
SCH-1078,Sarvodaya Kanya School 78,Lake Plateau,Block Epsilon,641, ha ,N,0,false,true,17.0,Qtl,74.7%,69.2,24.1
SCH-1079,Sarvodaya Kanya School 79,Lake Plateau,Block Beta,520,Nahi,Hai,0,N,Nahi,1572.8,Kilograms,47.1,48.6,5.5
SCH-1080,Govt High School 80,North Valley,Block Alpha,175,0,Y, ha , ha ,N,6.3,quintal,45.2,67.2,12.4
SCH-1081,Zila Parishad School 81,Lake Plateau,Block Alpha,374,false,No,N,Y,false,0.9,Ton,77.5,78.3,11.2
SCH-1082,Sarvodaya Kanya School 82,South Hill,Block Delta,654,false,false,  Yes  ,  Yes  ,true,22.1,Quintals,0.78,42.2,21.7
SCH-1083,Adarsh Vidyalaya 83,North Valley,Block Beta,226,false,  Yes  ,0,Y,1,2289.5,KG,43.7,51.4,10.5
SCH-1084,Adarsh Vidyalaya 84,Central Zila,Block Epsilon,166,Yes,1,1,false,Yes,469.2,KG,65.9,51.1,7.2
SCH-1085,Adarsh Vidyalaya 85,West Plain,Block Alpha,370,  Yes  ,  Yes  ,false,Nahi,true,1217.8,KG,0.54,37.9,26.6
SCH-1086,Adarsh Vidyalaya 86,East Coast,Block Gamma,202,Yes,Nahi, ha ,0,1,1454.7,kg,80.0,75.8,3.4
SCH-1087,Govt High School 87,West Plain,Block Alpha,550,Y,N,false,0,false,2541.3,Kilograms,64.6%,26.3,10.1
SCH-1088,Sarvodaya Kanya School 88,West Plain,Block Gamma,170,0,Y,Hai,0,false,1929.1,Kilograms,63.4,46.0,6.0
SCH-1089,Govt High School 89,Central Zila,Block Epsilon,278,N,N, ha ,  Yes  ,1,539.3,kg,55.8,72.8,3.5
SCH-1090,Zila Parishad School 90,West Plain,Block Epsilon,673,Nahi,  Yes  ,false,  Yes  ,  Yes  ,1.27,Ton,94.4,54.5,18.2
SCH-1091,Sarvodaya Kanya School 91,North Valley,Block Gamma,599,Y,No,Nahi,Nahi,Yes,14.2,Quintals,57.5,30.7,17.2
SCH-1092,Sarvodaya Kanya School 92,Central Zila,Block Alpha,540,false,  Yes  ,Hai,N,false,1854.5,Kilograms,93.7,77.8,27.5
SCH-1093,Model Primary School 93,North Valley,Block Beta,528,Nahi,true,true,false,1,14.3,Qtl,57.3,62.7,22.4
SCH-1094,Govt High School 94,East Coast,Block Alpha,651,  Yes  ,0,No,No, ha ,23.7,quintal,90.9,61.7,5.2
SCH-1095,Zila Parishad School 95,South Hill,Block Epsilon,166,No,true,0,  Yes  ,N,6.2,quintal,80.0,82.5,4.0
SCH-1096,Sarvodaya Kanya School 96,East Coast,Block Alpha,451,No,1,Hai,N,Nahi,947.6,kg,49.4%,78.2,4.2
SCH-1097,Sarvodaya Kanya School 97,North Valley,Block Gamma,712,1,false,0,1,1,2943.4,kg,83.6,52.6,12.4
SCH-1098,Model Primary School 98,West Plain,Block Epsilon,371, ha ,Nahi,Hai,true,Hai,33.9,Qtl,84.4,67.7,16.6
SCH-1099,Adarsh Vidyalaya 99,West Plain,Block Epsilon,620,0,1,Hai,false,1,10.3,quintal,76.6,31.5,23.9
SCH-1100,Adarsh Vidyalaya 100,North Valley,Block Beta,359,Nahi,true,1,0,Y,2895.1,kg,89.8,50.0,11.4
SCH-1101,Govt High School 101,East Coast,Block Beta,108,N,Y, ha ,  Yes  ,N,6.8,quintal,44.1,77.4,21.6
SCH-1102,Sarvodaya Kanya School 102,North Valley,Block Alpha,99,No,Hai,1,true, ha ,1.94,Ton,48.0,28.0,12.6
SCH-1103,Zila Parishad School 103,North Valley,Block Alpha,591,false,true,Yes,  Yes  ,true,1.0,Ton,49.8,40.2,12.5
SCH-1104,Govt High School 104,Central Zila,Block Gamma,149,true,true,true,true,true,14.9,Quintals,67.4,41.0,1.9
SCH-1105,Adarsh Vidyalaya 105,South Hill,Block Alpha,675, ha ,N,1,Yes,N,1.32,Ton,76.7,86.8,14.2
SCH-1106,Model Primary School 106,North Valley,Block Delta,117,No,Hai,Yes,Hai,Yes,32.8,Qtl,69.8,41.0,21.5
SCH-1107,Adarsh Vidyalaya 107,North Valley,Block Gamma,359,Y,N,0,0, ha ,3152.3,Kilograms,62.9,56.3,26.0
SCH-1108,Govt High School 108,Lake Plateau,Block Delta,160,0,false,1,true,No,5.4,Qtl,59.7,70.2,5.9
SCH-1109,Zila Parishad School 109,North Valley,Block Gamma,709,0,No,  Yes  ,Yes,Y,2303.8,KG,61.6,85.0,5.3
SCH-1110,Zila Parishad School 110,North Valley,Block Beta,148,Hai,  Yes  ,N,N,0,0.31,Ton,50.3,53.0,3.5
SCH-1111,Adarsh Vidyalaya 111,West Plain,Block Gamma,745,No,Hai,Y,Yes, ha ,1846.8,kg,62.9,41.4,13.3
SCH-1112,Adarsh Vidyalaya 112,Lake Plateau,Block Delta,284,Y,1,Y,Nahi,1,1668.9,KG,46.7,45.1,10.7
SCH-1113,Sarvodaya Kanya School 113,East Coast,Block Gamma,241, ha , ha , ha ,  Yes  ,1,13.9,quintal,54.1,39.9,14.6
SCH-1114,Sarvodaya Kanya School 114,East Coast,Block Delta,644,1,false,Y,Y,No,3498.7,Kilograms,80.8,76.9,3.5
SCH-1115,Govt High School 115,West Plain,Block Delta,609,N,1,true,  Yes  ,false,2733.7,kg,49.0,77.4,15.2
SCH-1116,Model Primary School 116,East Coast,Block Beta,434,true,No,Y,No,Hai,3356.0,KG,56.8,30.9,18.5
SCH-1117,Sarvodaya Kanya School 117,South Hill,Block Beta,719, ha ,false,N,false,Yes,30.5,quintal,46.4,41.7,7.1
SCH-1118,Sarvodaya Kanya School 118,Lake Plateau,Block Alpha,589,  Yes  ,true,No,  Yes  ,No,1008.1,Kilograms,85.6,68.4,5.7
SCH-1119,Zila Parishad School 119,South Hill,Block Gamma,701,1,N, ha ,N, ha ,13.4,quintal,63.5,31.7,7.9
SCH-1120,Zila Parishad School 120,South Hill,Block Beta,179,Yes,No,0,false,0,3376.9,kg,90.7,70.4,6.5
SCH-1121,Sarvodaya Kanya School 121,West Plain,Block Delta,395,Nahi,Yes,Y,0,true,3390.1,Kilograms,0.54,56.2,24.9
SCH-1122,Zila Parishad School 122,East Coast,Block Epsilon,88,Y,0,1,No, ha ,27.2,Qtl,61.8,37.3,16.2
SCH-1123,Sarvodaya Kanya School 123,West Plain,Block Epsilon,366,false,  Yes  ,false,Y,1,15.0,Quintals,84.9,72.6,6.8
SCH-1124,Sarvodaya Kanya School 124,North Valley,Block Alpha,119,1, ha ,N,Nahi,true,691.5,Kilograms,90.2%,83.7,9.9
SCH-1125,Sarvodaya Kanya School 125,Lake Plateau,Block Gamma,687,N,true,true,true,Nahi,2057.7,KG,67.6%,45.9,4.4
SCH-1126,Adarsh Vidyalaya 126,Lake Plateau,Block Alpha,691,Nahi,No,  Yes  ,false,false,2580.6,kg,73.5,64.0,23.8
SCH-1127,Model Primary School 127,North Valley,Block Epsilon,192,Hai,Yes,Nahi,N,0,1562.8,kg,53.0,54.7,24.0
SCH-1128,Model Primary School 128,Central Zila,Block Beta,654,N,  Yes  ,Nahi,true,0,33.6,Qtl,66.8,67.6,24.5
SCH-1129,Adarsh Vidyalaya 129,Central Zila,Block Delta,276,Hai,No,true,No,Hai,27.4,Qtl,80.1,55.2,16.4
SCH-1130,Adarsh Vidyalaya 130,East Coast,Block Alpha,667,  Yes  ,true,0,0,N,28.6,quintal,57.7,46.8,13.2
SCH-1131,Zila Parishad School 131,South Hill,Block Beta,631,No,true, ha ,No,1,22.3,Quintals,73.7,58.5,18.4
SCH-1132,Zila Parishad School 132,East Coast,Block Delta,182,  Yes  ,1,Yes,true,1,2354.5,Kilograms,89.6,72.6,9.1
SCH-1133,Govt High School 133,North Valley,Block Epsilon,317,true, ha , ha ,Yes,1,3111.4,Kilograms,51.5,50.0,14.6
SCH-1134,Adarsh Vidyalaya 134,North Valley,Block Alpha,385,false,false,Y,N,No,3464.0,Kilograms,71.3,78.6,13.9
SCH-1135,Govt High School 135,East Coast,Block Beta,549,  Yes  ,No, ha ,1,Yes,1312.5,KG,57.9,63.5,18.4
SCH-1136,Zila Parishad School 136,Central Zila,Block Gamma,168,0,  Yes  ,Y,1,1,1267.9,Kilograms,55.4,72.5,26.8
SCH-1137,Sarvodaya Kanya School 137,North Valley,Block Gamma,749,N, ha ,Hai,Yes,  Yes  ,17.4,Quintals,50.6,80.9,21.9
SCH-1138,Adarsh Vidyalaya 138,East Coast,Block Epsilon,306,Hai,1,Nahi,1,Nahi,3463.2,KG,62.2,72.7,22.8
SCH-1139,Model Primary School 139,Lake Plateau,Block Epsilon,163,true,Nahi,true, ha ,N,32.3,Quintals,48.1,37.7,15.7
SCH-1140,Sarvodaya Kanya School 140,West Plain,Block Alpha,290, ha ,false,Nahi,Y,true,2868.7,Kilograms,66.5,28.6,13.8
SCH-1141,Govt High School 141,West Plain,Block Gamma,83, ha ,Hai,false,Y,Nahi,1336.9,Kilograms,100%,12.5,26.0
SCH-1142,Zila Parishad School 142,South Hill,Block Beta,736, ha ,  Yes  ,0,N,0,3069.7,Kilograms,91.0,66.7,15.8
SCH-1143,Adarsh Vidyalaya 143,North Valley,Block Beta,630,0,true,1, ha ,Hai,2.1,quintal,43.2,59.3,15.6
SCH-1144,Model Primary School 144,West Plain,Block Gamma,238,No,Hai, ha ,Y,Yes,23.8,quintal,75.2,40.2,3.3
SCH-1145,Zila Parishad School 145,Central Zila,Block Alpha,330, ha ,Yes,0,Nahi,Hai,0.92,Ton,88.6%,56.7,9.2
SCH-1146,Sarvodaya Kanya School 146,East Coast,Block Epsilon,692,  Yes  ,N,Hai,No,1,1920.1,KG,64.3,62.3,21.0
SCH-1147,Zila Parishad School 147,Central Zila,Block Delta,128,N,  Yes  ,  Yes  ,0,true,25.0,Qtl,64.0,58.9,7.9
SCH-1148,Model Primary School 148,West Plain,Block Alpha,655,0,0,true,true,1,1001.4,Kilograms,53.0,78.4,4.0
SCH-1149,Model Primary School 149,North Valley,Block Gamma,466,  Yes  ,false,false,Yes,Y,2855.3,kg,73.7,38.2,25.5
SCH-1150,Govt High School 150,South Hill,Block Beta,200, ha ,Nahi,Hai, ha ,false,874.9,KG,91.4,49.0,15.6
SCH-1151,Adarsh Vidyalaya 151,East Coast,Block Epsilon,589,Nahi,Y, ha ,Nahi,N,1423.3,kg,64.4,34.2,8.4
SCH-1152,Sarvodaya Kanya School 152,Lake Plateau,Block Delta,382,1,Hai,N,Hai,0,2.95,Ton,69.0,41.2,23.3
SCH-1153,Zila Parishad School 153,West Plain,Block Beta,440,1,1, ha ,true,Nahi,3225.8,kg,0.71,27.1,23.9
SCH-1154,Govt High School 154,North Valley,Block Delta,220,  Yes  ,Hai,Y, ha ,1,9.2,Quintals,66.6%,65.2,26.2
SCH-1155,Zila Parishad School 155,North Valley,Block Alpha,624,true,0,Yes,Yes,true,1106.6,KG,94.8%,76.2,19.4
SCH-1156,Model Primary School 156,North Valley,Block Alpha,616,1,Hai,Hai,false,true,28.9,Qtl,56.4,50.6,16.5
SCH-1157,Model Primary School 157,East Coast,Block Alpha,749,  Yes  ,Yes,Y,0,0,2023.9,Kilograms,45.0%,35.8,14.7
SCH-1158,Adarsh Vidyalaya 158,Central Zila,Block Alpha,620,Yes,Hai,Hai, ha ,false,1094.6,Kilograms,91.9,59.2,18.9
SCH-1159,Adarsh Vidyalaya 159,North Valley,Block Beta,681,1, ha ,0,Y,No,2061.1,kg,72.6,59.1,11.7
SCH-1160,Govt High School 160,Central Zila,Block Gamma,134,Y,0,Hai,Y,N,2.74,Ton,93.6,26.9,8.7
SCH-1161,Zila Parishad School 161,South Hill,Block Gamma,646,0,0,1,  Yes  ,false,1454.2,KG,83.7,29.6,8.6
SCH-1162,Model Primary School 162,Lake Plateau,Block Delta,404,N,Y,Y,Yes,No,1387.7,Kilograms,56.6%,36.8,13.4
SCH-1163,Zila Parishad School 163,North Valley,Block Alpha,171,N,true,Y,false,false,12.7,quintal,62.8,30.3,25.4
SCH-1164,Model Primary School 164,Central Zila,Block Epsilon,253,  Yes  ,0,1,1,No,10.9,Qtl,49.9,43.9,22.2
SCH-1165,Model Primary School 165,Lake Plateau,Block Delta,688,false,Hai,Nahi,Y,1,2.2,Qtl,63.4,79.3,13.2
SCH-1166,Sarvodaya Kanya School 166,South Hill,Block Gamma,408,false, ha ,Hai,Nahi,N,3383.1,kg,94.3,55.9,16.8
SCH-1167,Zila Parishad School 167,East Coast,Block Delta,453,Y,false,Hai,false,true,2449.7,kg,71.7,69.6,13.1
SCH-1168,Govt High School 168,West Plain,Block Delta,222,  Yes  ,No,Hai,No,  Yes  ,2560.3,kg,84.6%,87.4,14.2
SCH-1169,Sarvodaya Kanya School 169,Lake Plateau,Block Delta,636,Yes,N, ha ,true,false,3217.5,KG,47.9,35.5,17.7
SCH-1170,Zila Parishad School 170,East Coast,Block Delta,188,Yes,Y,No,Hai,true,1912.0,KG,73.3,49.6,22.0
SCH-1171,Sarvodaya Kanya School 171,South Hill,Block Gamma,105,Nahi,Y,No,0,Y,29.4,Quintals,81.4,74.4,15.3
SCH-1172,Govt High School 172,West Plain,Block Delta,406,Y,No,Yes, ha ,Y,30.0,Quintals,77.0,87.0,8.0
SCH-1173,Model Primary School 173,East Coast,Block Epsilon,516,Nahi,Hai,0,  Yes  ,1,2313.6,kg,65.3%,63.7,6.7
SCH-1174,Zila Parishad School 174,North Valley,Block Beta,290,No, ha ,Y,false,Y,30.8,quintal,52.1,41.5,24.4
SCH-1175,Adarsh Vidyalaya 175,Central Zila,Block Delta,705,0,false,Y,N,N,17.1,quintal,51.3,82.9,17.1
SCH-1176,Adarsh Vidyalaya 176,North Valley,Block Beta,392,Y,1,N, ha ,1,1.48,Ton,74.2,55.7,15.7
SCH-1177,Model Primary School 177,Central Zila,Block Beta,581,No,1,1,N,Nahi,0.38,Ton,61.4%,33.6,23.1
SCH-1178,Sarvodaya Kanya School 178,Lake Plateau,Block Delta,498,  Yes  ,Nahi,0, ha ,Nahi,751.9,Kilograms,72.5,27.1,7.5
SCH-1179,Zila Parishad School 179,Central Zila,Block Delta,642,true,Y,false,Y,No,19.9,quintal,95.5,72.9,13.2
SCH-1180,Zila Parishad School 180,North Valley,Block Beta,384,Yes,Nahi,No,N,Y,3055.5,Kilograms,48.3,71.5,19.8
SCH-1181,Sarvodaya Kanya School 181,Lake Plateau,Block Delta,249,false,1,Hai,Hai,Yes,1.36,Ton,57.2,69.4,9.2
SCH-1182,Sarvodaya Kanya School 182,Lake Plateau,Block Alpha,218,0,Yes,No,  Yes  ,1,3058.1,KG,55.5,73.0,19.4
SCH-1183,Sarvodaya Kanya School 183,Lake Plateau,Block Gamma,722,0,0,Nahi,Y,  Yes  ,31.0,quintal,47.0,84.0,11.3
SCH-1184,Adarsh Vidyalaya 184,Central Zila,Block Alpha,175, ha ,Nahi,  Yes  ,  Yes  , ha ,30.1,Qtl,85.0,77.0,14.6
SCH-1185,Adarsh Vidyalaya 185,East Coast,Block Epsilon,671,1,false,Nahi,N,  Yes  ,3.6,quintal,47.4,32.8,24.2
SCH-1186,Govt High School 186,West Plain,Block Beta,215,  Yes  ,No,1,No,Y,1389.4,KG,46.5,28.3,18.1
SCH-1187,Model Primary School 187,West Plain,Block Alpha,177,Yes,Hai,Nahi,Y,1,0.95,Ton,78.7%,68.8,23.2
SCH-1188,Zila Parishad School 188,Lake Plateau,Block Beta,569,Y,Hai,0,Y, ha ,5.4,quintal,58.9,73.7,21.5
SCH-1189,Model Primary School 189,North Valley,Block Epsilon,656,Yes,false,  Yes  ,1,Nahi,25.8,Qtl,75.9,68.3,24.3
SCH-1190,Govt High School 190,South Hill,Block Alpha,683, ha ,0,N,0,N,6.6,quintal,57.0%,59.9,17.4
SCH-1191,Govt High School 191,Lake Plateau,Block Gamma,290,true,false,true,Hai, ha ,1175.3,Kilograms,44.9,56.2,4.5
SCH-1192,Sarvodaya Kanya School 192,North Valley,Block Epsilon,92,N,N,1,0,false,1405.9,Kilograms,78.9,73.5,1.9
SCH-1193,Adarsh Vidyalaya 193,South Hill,Block Alpha,141,0,true,No,  Yes  , ha ,2.73,Ton,64.9,58.9,5.5
SCH-1194,Govt High School 194,Central Zila,Block Beta,239,true,N,0,false,  Yes  ,29.5,quintal,78.8%,69.0,20.8
SCH-1195,Govt High School 195,South Hill,Block Alpha,524,Y,Nahi,false,false,Yes,24.0,Qtl,0.78,33.6,1.8
SCH-1196,Adarsh Vidyalaya 196,Central Zila,Block Epsilon,345,1,N,1, ha ,No,3125.2,KG,83.7%,75.8,8.7
