school_id,school_name,district,block,total_enrolled,has_electricity,has_drinking_water,has_separate_girls_toilet,has_boys_toilet,mdm_served_status,mdm_grain_procured_kg,mdm_grain_unit_raw,avg_student_attendance_pct,avg_test_score,reported_dropout_rate_pct,mdm_grain_procured_raw,proxy_attendance_flag,infrastructure_score,welfare_efficacy_index,retention_risk_level,priority_action
SCH-1020,Sarvodaya Kanya School 20,South Hill,Block Epsilon,351,True,False,True,True,False,720.0,qtl,100.0,12.5,26.0,7.2,True,70.0,58.0,CRITICAL,Urgent Infrastructure & Welfare Taskforce
SCH-1021,Sarvodaya Kanya School 21,East Coast,Block Alpha,217,False,True,True,True,True,1098.7,kg,74.7,65.0,8.5,1098.7,False,70.0,80.4,MEDIUM,Standard Monitoring
SCH-1022,Govt High School 22,North Valley,Block Delta,363,True,True,False,True,True,730.0,qtl,65.9,32.0,26.5,7.3,False,75.0,79.8,CRITICAL,Urgent Infrastructure & Welfare Taskforce
SCH-1023,Model Primary School 23,Central Zila,Block Alpha,458,False,True,True,False,True,1220.0,quintals,90.5,81.6,7.1,12.2,False,55.0,79.2,MEDIUM,Standard Monitoring
SCH-1024,Govt High School 24,East Coast,Block Epsilon,496,False,True,True,True,True,2880.0,quintal,89.6,71.4,10.3,28.8,False,70.0,84.9,MEDIUM,Standard Monitoring
SCH-1025,Model Primary School 25,East Coast,Block Beta,190,False,True,False,True,True,3230.0,quintal,60.9,39.0,19.0,32.3,False,45.0,66.3,HIGH,District Officer Advisory
SCH-1026,Adarsh Vidyalaya 26,North Valley,Block Gamma,439,True,True,False,True,True,3300.0,qtl,48.2,85.6,8.5,33.0,False,75.0,74.5,HIGH,District Officer Advisory
SCH-1027,Zila Parishad School 27,East Coast,Block Gamma,526,False,True,True,False,False,1040.6,kg,80.3,83.3,15.8,1040.6,False,55.0,46.1,HIGH,District Officer Advisory
SCH-1028,Model Primary School 28,East Coast,Block Delta,151,True,False,False,False,True,610.0,quintal,90.6,45.5,20.0,6.1,False,30.0,69.2,CRITICAL,Urgent Infrastructure & Welfare Taskforce
SCH-1029,Model Primary School 29,West Plain,Block Delta,258,False,False,False,False,True,200.0,quintal,57.5,66.2,13.8,2.0,False,0.0,47.2,HIGH,District Officer Advisory
SCH-1030,Model Primary School 30,Central Zila,Block Delta,253,True,True,False,True,True,2243.6,kg,47.0,44.6,22.9,2243.6,False,75.0,74.1,CRITICAL,Urgent Infrastructure & Welfare Taskforce
SCH-1031,Govt High School 31,South Hill,Block Delta,705,True,False,False,True,False,2570.5,kg,62.7,68.3,25.2,2570.5,False,45.0,36.8,CRITICAL,Urgent Infrastructure & Welfare Taskforce
SCH-1032,Govt High School 32,West Plain,Block Beta,260,True,True,False,True,True,3227.7,kg,48.6,54.3,15.6,3227.7,False,75.0,74.6,HIGH,District Officer Advisory
SCH-1033,Adarsh Vidyalaya 33,West Plain,Block Epsilon,596,False,True,False,True,True,1770.0,quintal,56.0,73.2,15.3,17.7,False,45.0,64.8,HIGH,District Officer Advisory
SCH-1034,Adarsh Vidyalaya 34,West Plain,Block Alpha,372,True,False,False,False,True,660.0,quintals,54.5,29.0,12.3,6.6,False,30.0,58.4,HIGH,District Officer Advisory
SCH-1035,Zila Parishad School 35,North Valley,Block Beta,510,False,False,True,True,False,1774.0,kilograms,92.9,81.2,23.6,1774.0,False,40.0,43.9,CRITICAL,Urgent Infrastructure & Welfare Taskforce
SCH-1036,Sarvodaya Kanya School 36,Central Zila,Block Beta,579,True,False,False,False,True,1309.2,kilograms,78.7,54.4,4.9,1309.2,False,30.0,65.6,HIGH,District Officer Advisory
SCH-1037,Govt High School 37,West Plain,Block Epsilon,657,True,True,True,True,False,3060.6,kg,51.8,53.6,10.4,3060.6,False,100.0,55.5,HIGH,District Officer Advisory
SCH-1038,Adarsh Vidyalaya 38,West Plain,Block Gamma,163,False,True,True,True,True,940.0,qtl,46.0,27.0,8.1,9.4,False,70.0,71.8,HIGH,District Officer Advisory
SCH-1039,Sarvodaya Kanya School 39,South Hill,Block Beta,209,False,True,True,False,True,2508.2,kilograms,83.4,72.1,4.5,2508.2,False,55.0,77.0,MEDIUM,Standard Monitoring
SCH-1040,Adarsh Vidyalaya 40,North Valley,Block Epsilon,106,False,False,True,False,False,854.5,kg,74.0,68.9,9.5,854.5,False,25.0,32.2,HIGH,District Officer Advisory
SCH-1041,Govt High School 41,Central Zila,Block Alpha,435,True,False,True,False,True,2340.0,ton,42.7,52.3,11.1,2.34,False,55.0,64.8,HIGH,District Officer Advisory
SCH-1042,Zila Parishad School 42,Lake Plateau,Block Beta,525,True,True,True,True,False,2870.0,ton,71.1,71.1,8.6,2.87,False,100.0,61.3,MEDIUM,Standard Monitoring
SCH-1043,Govt High School 43,East Coast,Block Delta,329,False,False,False,True,False,290.0,qtl,88.0,75.3,10.5,2.9,False,15.0,32.4,HIGH,District Officer Advisory
SCH-1044,Adarsh Vidyalaya 44,Central Zila,Block Alpha,609,True,True,True,True,False,2032.1,kilograms,55.0,53.2,2.0,2032.1,False,100.0,56.5,HIGH,District Officer Advisory
SCH-1045,Zila Parishad School 45,Lake Plateau,Block Beta,393,True,False,False,False,True,1330.0,ton,95.8,53.6,9.6,1.33,False,30.0,70.7,HIGH,District Officer Advisory
SCH-1046,Model Primary School 46,East Coast,Block Alpha,628,True,True,True,True,True,1112.4,kilograms,73.8,86.8,23.6,1112.4,False,100.0,92.1,CRITICAL,Urgent Infrastructure & Welfare Taskforce
SCH-1047,Adarsh Vidyalaya 47,South Hill,Block Gamma,94,True,True,True,False,True,2030.0,quintals,79.7,79.7,14.5,20.3,False,85.0,87.9,HIGH,District Officer Advisory
SCH-1048,Sarvodaya Kanya School 48,East Coast,Block Delta,570,False,False,True,True,False,1780.0,quintal,86.0,64.7,2.9,17.8,False,40.0,41.8,HIGH,District Officer Advisory
SCH-1049,Sarvodaya Kanya School 49,East Coast,Block Alpha,334,True,True,False,False,False,2240.0,quintal,83.9,43.7,17.1,22.4,False,60.0,49.2,HIGH,District Officer Advisory
SCH-1050,Sarvodaya Kanya School 50,Central Zila,Block Alpha,704,True,True,True,True,True,2380.0,qtl,51.0,25.2,13.4,23.8,False,100.0,85.3,HIGH,District Officer Advisory
SCH-1051,Adarsh Vidyalaya 51,North Valley,Block Beta,375,True,False,True,False,True,970.3,kg,56.3,75.6,6.7,970.3,False,55.0,68.9,HIGH,District Officer Advisory
SCH-1052,Model Primary School 52,Lake Plateau,Block Beta,352,True,True,True,True,False,2670.0,ton,72.7,68.4,20.0,2.67,False,100.0,61.8,CRITICAL,Urgent Infrastructure & Welfare Taskforce
SCH-1053,Sarvodaya Kanya School 53,Central Zila,Block Delta,528,True,False,True,False,False,2190.0,qtl,100.0,12.5,26.0,21.9,True,55.0,52.0,CRITICAL,Urgent Infrastructure & Welfare Taskforce
SCH-1054,Adarsh Vidyalaya 54,Central Zila,Block Alpha,259,False,True,True,False,False,3489.9,kg,65.5,54.6,12.3,3489.9,False,55.0,41.6,HIGH,District Officer Advisory
SCH-1055,Govt High School 55,South Hill,Block Gamma,501,True,False,False,True,False,2710.0,quintal,44.0,40.9,4.6,27.1,False,45.0,31.2,HIGH,District Officer Advisory
SCH-1056,Sarvodaya Kanya School 56,North Valley,Block Epsilon,553,False,True,True,True,False,2700.0,ton,75.8,59.6,26.1,2.7,False,70.0,50.7,CRITICAL,Urgent Infrastructure & Welfare Taskforce
SCH-1057,Zila Parishad School 57,North Valley,Block Alpha,725,False,True,True,True,False,250.0,ton,64.0,32.1,26.6,0.25,False,70.0,47.2,CRITICAL,Urgent Infrastructure & Welfare Taskforce
SCH-1058,Model Primary School 58,West Plain,Block Gamma,601,True,False,False,False,False,1707.4,kg,49.8,72.0,5.1,1707.4,False,30.0,26.9,CRITICAL,Urgent Infrastructure & Welfare Taskforce
SCH-1059,Zila Parishad School 59,East Coast,Block Epsilon,353,True,False,True,False,False,3500.0,ton,68.4,58.9,10.6,3.5,False,55.0,42.5,MEDIUM,Standard Monitoring
SCH-1060,Sarvodaya Kanya School 60,West Plain,Block Delta,409,True,True,True,False,False,3024.8,kg,64.2,82.5,11.6,3024.8,False,85.0,53.3,HIGH,District Officer Advisory
SCH-1061,Model Primary School 61,West Plain,Block Alpha,209,True,False,False,True,False,1940.0,quintals,66.7,66.3,5.6,19.4,False,45.0,38.0,HIGH,District Officer Advisory
SCH-1062,Adarsh Vidyalaya 62,East Coast,Block Epsilon,487,True,True,False,True,True,3348.7,kilograms,75.8,59.1,17.9,3348.7,False,75.0,82.7,HIGH,District Officer Advisory
SCH-1063,Adarsh Vidyalaya 63,South Hill,Block Alpha,524,True,True,True,True,False,2490.2,kg,90.8,75.2,9.3,2490.2,False,100.0,67.2,MEDIUM,Standard Monitoring
SCH-1064,Model Primary School 64,South Hill,Block Epsilon,501,False,True,True,True,True,2210.0,quintals,62.7,61.7,7.7,22.1,False,70.0,76.8,HIGH,District Officer Advisory
SCH-1065,Zila Parishad School 65,East Coast,Block Alpha,556,False,True,True,True,True,3319.3,kilograms,95.3,68.5,13.6,3319.3,False,70.0,86.6,HIGH,District Officer Advisory
SCH-1066,Zila Parishad School 66,West Plain,Block Alpha,322,False,False,False,False,False,1174.3,kg,94.8,60.7,19.7,1174.3,False,0.0,28.4,HIGH,District Officer Advisory
SCH-1067,Govt High School 67,Central Zila,Block Delta,373,True,False,False,True,True,2248.9,kg,78.6,77.8,18.1,2248.9,False,45.0,71.6,HIGH,District Officer Advisory
SCH-1068,Govt High School 68,East Coast,Block Delta,114,False,False,True,True,True,1280.0,qtl,64.4,80.2,11.2,12.8,False,40.0,65.3,HIGH,District Officer Advisory
SCH-1069,Adarsh Vidyalaya 69,South Hill,Block Gamma,573,False,True,False,True,False,660.0,quintals,94.2,86.7,27.1,6.6,False,45.0,46.3,CRITICAL,Urgent Infrastructure & Welfare Taskforce
SCH-1070,Adarsh Vidyalaya 70,North Valley,Block Delta,94,False,True,True,False,False,2671.7,kg,56.2,48.4,19.4,2671.7,False,55.0,38.9,HIGH,District Officer Advisory
SCH-1071,Sarvodaya Kanya School 71,Central Zila,Block Gamma,704,True,True,True,True,False,1197.2,kg,64.0,84.6,9.6,1197.2,False,100.0,59.2,HIGH,District Officer Advisory
SCH-1072,Govt High School 72,South Hill,Block Epsilon,218,False,False,False,True,True,3321.7,kg,64.6,51.1,4.1,3321.7,False,15.0,55.4,HIGH,District Officer Advisory
SCH-1073,Zila Parishad School 73,East Coast,Block Alpha,459,True,False,False,True,False,3440.0,quintals,61.8,28.8,8.8,34.4,False,45.0,36.5,HIGH,District Officer Advisory
SCH-1074,Zila Parishad School 74,North Valley,Block Beta,737,True,False,True,True,False,3463.1,kg,84.5,59.9,17.0,3463.1,False,70.0,53.4,HIGH,District Officer Advisory
SCH-1075,Model Primary School 75,East Coast,Block Beta,690,True,False,True,True,True,2840.0,qtl,47.9,47.6,22.4,28.4,False,70.0,72.4,CRITICAL,Urgent Infrastructure & Welfare Taskforce
SCH-1076,Govt High School 76,South Hill,Block Gamma,133,True,True,False,True,True,409.7,kg,66.2,53.5,7.4,409.7,False,75.0,79.9,MEDIUM,Standard Monitoring
SCH-1077,Sarvodaya Kanya School 77,East Coast,Block Delta,738,True,True,False,False,False,556.3,kg,80.5,45.3,5.4,556.3,False,60.0,48.2,MEDIUM,Standard Monitoring
SCH-1078,Sarvodaya Kanya School 78,Lake Plateau,Block Epsilon,641,True,False,False,False,True,1700.0,qtl,74.7,69.2,24.1,17.0,False,30.0,64.4,CRITICAL,Urgent Infrastructure & Welfare Taskforce
SCH-1079,Sarvodaya Kanya School 79,Lake Plateau,Block Beta,520,False,True,False,False,False,1572.8,kilograms,47.1,48.6,5.5,1572.8,False,30.0,26.1,CRITICAL,Urgent Infrastructure & Welfare Taskforce
SCH-1080,Govt High School 80,North Valley,Block Alpha,175,False,True,True,True,False,630.0,quintal,45.2,67.2,12.4,6.3,False,70.0,41.6,HIGH,District Officer Advisory
SCH-1081,Zila Parishad School 81,Lake Plateau,Block Alpha,374,False,False,False,True,False,900.0,ton,77.5,78.3,11.2,0.9,False,15.0,29.2,HIGH,District Officer Advisory
SCH-1082,Sarvodaya Kanya School 82,South Hill,Block Delta,654,False,False,True,True,True,2210.0,quintals,78.0,42.2,21.7,22.1,False,40.0,69.4,CRITICAL,Urgent Infrastructure & Welfare Taskforce
SCH-1083,Adarsh Vidyalaya 83,North Valley,Block Beta,226,False,True,False,True,True,2289.5,kg,43.7,51.4,10.5,2289.5,False,45.0,61.1,HIGH,District Officer Advisory
SCH-1084,Adarsh Vidyalaya 84,Central Zila,Block Epsilon,166,True,True,True,False,True,469.2,kg,65.9,51.1,7.2,469.2,False,85.0,83.8,MEDIUM,Standard Monitoring
SCH-1085,Adarsh Vidyalaya 85,West Plain,Block Alpha,370,True,True,False,False,True,1217.8,kg,54.0,37.9,26.6,1217.8,False,60.0,70.2,CRITICAL,Urgent Infrastructure & Welfare Taskforce
SCH-1086,Adarsh Vidyalaya 86,East Coast,Block Gamma,202,True,False,True,False,True,1454.7,kg,80.0,75.8,3.4,1454.7,False,55.0,76.0,MEDIUM,Standard Monitoring
SCH-1087,Govt High School 87,West Plain,Block Alpha,550,True,False,False,False,False,2541.3,kilograms,64.6,26.3,10.1,2541.3,False,30.0,31.4,HIGH,District Officer Advisory
SCH-1088,Sarvodaya Kanya School 88,West Plain,Block Gamma,170,False,True,True,False,False,1929.1,kilograms,63.4,46.0,6.0,1929.1,False,55.0,41.0,HIGH,District Officer Advisory
SCH-1089,Govt High School 89,Central Zila,Block Epsilon,278,False,False,True,True,True,539.3,kg,55.8,72.8,3.5,539.3,False,40.0,62.7,HIGH,District Officer Advisory
SCH-1090,Zila Parishad School 90,West Plain,Block Epsilon,673,False,True,False,True,True,1270.0,ton,94.4,54.5,18.2,1.27,False,45.0,76.3,HIGH,District Officer Advisory
SCH-1091,Sarvodaya Kanya School 91,North Valley,Block Gamma,599,True,False,False,False,True,1420.0,quintals,57.5,30.7,17.2,14.2,False,30.0,59.2,HIGH,District Officer Advisory
SCH-1092,Sarvodaya Kanya School 92,Central Zila,Block Alpha,540,False,True,True,False,False,1854.5,kilograms,93.7,77.8,27.5,1854.5,False,55.0,50.1,CRITICAL,Urgent Infrastructure & Welfare Taskforce
SCH-1093,Model Primary School 93,North Valley,Block Beta,528,False,True,True,False,True,1430.0,qtl,57.3,62.7,22.4,14.3,False,55.0,69.2,CRITICAL,Urgent Infrastructure & Welfare Taskforce
SCH-1094,Govt High School 94,East Coast,Block Alpha,651,True,False,False,False,True,2370.0,quintal,90.9,61.7,5.2,23.7,False,30.0,69.3,HIGH,District Officer Advisory
SCH-1095,Zila Parishad School 95,South Hill,Block Epsilon,166,False,True,False,True,False,620.0,quintal,80.0,82.5,4.0,6.2,False,45.0,42.0,HIGH,District Officer Advisory
SCH-1096,Sarvodaya Kanya School 96,East Coast,Block Alpha,451,False,True,True,False,False,947.6,kg,49.4,78.2,4.2,947.6,False,55.0,36.8,HIGH,District Officer Advisory
SCH-1097,Sarvodaya Kanya School 97,North Valley,Block Gamma,712,True,False,False,True,True,2943.4,kg,83.6,52.6,12.4,2943.4,False,45.0,73.1,HIGH,District Officer Advisory
SCH-1098,Model Primary School 98,West Plain,Block Epsilon,371,True,False,True,True,True,3390.0,qtl,84.4,67.7,16.6,33.9,False,70.0,83.3,HIGH,District Officer Advisory
SCH-1099,Adarsh Vidyalaya 99,West Plain,Block Epsilon,620,False,True,True,False,True,1030.0,quintal,76.6,31.5,23.9,10.3,False,55.0,75.0,CRITICAL,Urgent Infrastructure & Welfare Taskforce
SCH-1100,Adarsh Vidyalaya 100,North Valley,Block Beta,359,False,True,True,False,True,2895.1,kg,89.8,50.0,11.4,2895.1,False,55.0,78.9,MEDIUM,Standard Monitoring
SCH-1101,Govt High School 101,East Coast,Block Beta,108,False,True,True,True,False,680.0,quintal,44.1,77.4,21.6,6.8,False,70.0,41.2,CRITICAL,Urgent Infrastructure & Welfare Taskforce
SCH-1102,Sarvodaya Kanya School 102,North Valley,Block Alpha,99,False,True,True,True,True,1940.0,ton,48.0,28.0,12.6,1.94,False,70.0,72.4,HIGH,District Officer Advisory
SCH-1103,Zila Parishad School 103,North Valley,Block Alpha,591,False,True,True,True,True,1000.0,ton,49.8,40.2,12.5,1.0,False,70.0,72.9,HIGH,District Officer Advisory
SCH-1104,Govt High School 104,Central Zila,Block Gamma,149,True,True,True,True,True,1490.0,quintals,67.4,41.0,1.9,14.9,False,100.0,90.2,LOW,Routine Maintenance
SCH-1105,Adarsh Vidyalaya 105,South Hill,Block Alpha,675,True,False,True,True,False,1320.0,ton,76.7,86.8,14.2,1.32,False,70.0,51.0,HIGH,District Officer Advisory
SCH-1106,Model Primary School 106,North Valley,Block Delta,117,False,True,True,True,True,3280.0,qtl,69.8,41.0,21.5,32.8,False,70.0,78.9,CRITICAL,Urgent Infrastructure & Welfare Taskforce
SCH-1107,Adarsh Vidyalaya 107,North Valley,Block Gamma,359,True,False,False,False,True,3152.3,kilograms,62.9,56.3,26.0,3152.3,False,30.0,60.9,CRITICAL,Urgent Infrastructure & Welfare Taskforce
SCH-1108,Govt High School 108,Lake Plateau,Block Delta,160,False,False,True,True,False,540.0,qtl,59.7,70.2,5.9,5.4,False,40.0,33.9,HIGH,District Officer Advisory
SCH-1109,Zila Parishad School 109,North Valley,Block Gamma,709,False,False,True,True,True,2303.8,kg,61.6,85.0,5.3,2303.8,False,40.0,64.5,HIGH,District Officer Advisory
SCH-1110,Zila Parishad School 110,North Valley,Block Beta,148,True,True,False,False,False,310.0,ton,50.3,53.0,3.5,0.31,False,60.0,39.1,HIGH,District Officer Advisory
SCH-1111,Adarsh Vidyalaya 111,West Plain,Block Gamma,745,False,True,True,True,True,1846.8,kg,62.9,41.4,13.3,1846.8,False,70.0,76.9,HIGH,District Officer Advisory
SCH-1112,Adarsh Vidyalaya 112,Lake Plateau,Block Delta,284,True,True,True,False,True,1668.9,kg,46.7,45.1,10.7,1668.9,False,85.0,78.0,HIGH,District Officer Advisory
SCH-1113,Sarvodaya Kanya School 113,East Coast,Block Gamma,241,True,True,True,True,True,1390.0,quintal,54.1,39.9,14.6,13.9,False,100.0,86.2,HIGH,District Officer Advisory
SCH-1114,Sarvodaya Kanya School 114,East Coast,Block Delta,644,True,False,True,True,False,3498.7,kilograms,80.8,76.9,3.5,3498.7,False,70.0,52.2,MEDIUM,Standard Monitoring
SCH-1115,Govt High School 115,West Plain,Block Delta,609,False,True,True,True,False,2733.7,kg,49.0,77.4,15.2,2733.7,False,70.0,42.7,HIGH,District Officer Advisory
SCH-1116,Model Primary School 116,East Coast,Block Beta,434,True,False,True,False,True,3356.0,kg,56.8,30.9,18.5,3356.0,False,55.0,69.0,HIGH,District Officer Advisory
SCH-1117,Sarvodaya Kanya School 117,South Hill,Block Beta,719,True,False,False,False,True,3050.0,quintal,46.4,41.7,7.1,30.5,False,30.0,55.9,CRITICAL,Urgent Infrastructure & Welfare Taskforce
SCH-1118,Sarvodaya Kanya School 118,Lake Plateau,Block Alpha,589,True,True,False,True,False,1008.1,kilograms,85.6,68.4,5.7,1008.1,False,75.0,55.7,LOW,Routine Maintenance
SCH-1119,Zila Parishad School 119,South Hill,Block Gamma,701,True,False,True,False,True,1340.0,quintal,63.5,31.7,7.9,13.4,False,55.0,71.0,HIGH,District Officer Advisory
SCH-1120,Zila Parishad School 120,South Hill,Block Beta,179,True,False,False,False,False,3376.9,kg,90.7,70.4,6.5,3376.9,False,30.0,39.2,HIGH,District Officer Advisory
SCH-1121,Sarvodaya Kanya School 121,West Plain,Block Delta,395,False,True,True,False,True,3390.1,kilograms,54.0,56.2,24.9,3390.1,False,55.0,68.2,CRITICAL,Urgent Infrastructure & Welfare Taskforce
SCH-1122,Zila Parishad School 122,East Coast,Block Epsilon,88,True,False,True,False,True,2720.0,qtl,61.8,37.3,16.2,27.2,False,55.0,70.5,HIGH,District Officer Advisory
SCH-1123,Sarvodaya Kanya School 123,West Plain,Block Epsilon,366,False,True,False,True,True,1500.0,quintals,84.9,72.6,6.8,15.0,False,45.0,73.5,HIGH,District Officer Advisory
SCH-1124,Sarvodaya Kanya School 124,North Valley,Block Alpha,119,True,True,False,False,True,691.5,kilograms,90.2,83.7,9.9,691.5,False,60.0,81.1,MEDIUM,Standard Monitoring
SCH-1125,Sarvodaya Kanya School 125,Lake Plateau,Block Gamma,687,False,True,True,True,False,2057.7,kg,67.6,45.9,4.4,2057.7,False,70.0,48.3,MEDIUM,Standard Monitoring
SCH-1126,Adarsh Vidyalaya 126,Lake Plateau,Block Alpha,691,False,False,True,False,False,2580.6,kg,73.5,64.0,23.8,2580.6,False,25.0,32.0,CRITICAL,Urgent Infrastructure & Welfare Taskforce
SCH-1127,Model Primary School 127,North Valley,Block Epsilon,192,True,True,False,False,False,1562.8,kg,53.0,54.7,24.0,1562.8,False,60.0,39.9,CRITICAL,Urgent Infrastructure & Welfare Taskforce
SCH-1128,Model Primary School 128,Central Zila,Block Beta,654,False,True,False,True,False,3360.0,qtl,66.8,67.6,24.5,33.6,False,45.0,38.0,CRITICAL,Urgent Infrastructure & Welfare Taskforce
SCH-1129,Adarsh Vidyalaya 129,Central Zila,Block Delta,276,True,False,True,False,True,2740.0,qtl,80.1,55.2,16.4,27.4,False,55.0,76.0,HIGH,District Officer Advisory
SCH-1130,Adarsh Vidyalaya 130,East Coast,Block Alpha,667,True,True,False,False,False,2860.0,quintal,57.7,46.8,13.2,28.6,False,60.0,41.3,HIGH,District Officer Advisory
SCH-1131,Zila Parishad School 131,South Hill,Block Beta,631,False,True,True,False,True,2230.0,quintals,73.7,58.5,18.4,22.3,False,55.0,74.1,HIGH,District Officer Advisory
SCH-1132,Zila Parishad School 132,East Coast,Block Delta,182,True,True,True,True,True,2354.5,kilograms,89.6,72.6,9.1,2354.5,False,100.0,96.9,MEDIUM,Standard Monitoring
SCH-1133,Govt High School 133,North Valley,Block Epsilon,317,True,True,True,True,True,3111.4,kilograms,51.5,50.0,14.6,3111.4,False,100.0,85.4,HIGH,District Officer Advisory
SCH-1134,Adarsh Vidyalaya 134,North Valley,Block Alpha,385,False,False,True,False,False,3464.0,kilograms,71.3,78.6,13.9,3464.0,False,25.0,31.4,HIGH,District Officer Advisory
SCH-1135,Govt High School 135,East Coast,Block Beta,549,True,False,True,True,True,1312.5,kg,57.9,63.5,18.4,1312.5,False,70.0,75.4,HIGH,District Officer Advisory
SCH-1136,Zila Parishad School 136,Central Zila,Block Gamma,168,False,True,True,True,True,1267.9,kilograms,55.4,72.5,26.8,1267.9,False,70.0,74.6,CRITICAL,Urgent Infrastructure & Welfare Taskforce
SCH-1137,Sarvodaya Kanya School 137,North Valley,Block Gamma,749,False,True,True,True,True,1740.0,quintals,50.6,80.9,21.9,17.4,False,70.0,73.2,CRITICAL,Urgent Infrastructure & Welfare Taskforce
SCH-1138,Adarsh Vidyalaya 138,East Coast,Block Epsilon,306,True,True,False,True,False,3463.2,kg,62.2,72.7,22.8,3463.2,False,75.0,48.7,CRITICAL,Urgent Infrastructure & Welfare Taskforce
SCH-1139,Model Primary School 139,Lake Plateau,Block Epsilon,163,True,False,True,True,False,3230.0,quintals,48.1,37.7,15.7,32.3,False,70.0,42.4,HIGH,District Officer Advisory
SCH-1140,Sarvodaya Kanya School 140,West Plain,Block Alpha,290,True,False,False,True,True,2868.7,kilograms,66.5,28.6,13.8,2868.7,False,45.0,68.0,HIGH,District Officer Advisory
SCH-1141,Govt High School 141,West Plain,Block Gamma,83,True,True,False,True,False,1336.9,kilograms,100.0,12.5,26.0,1336.9,True,75.0,60.0,CRITICAL,Urgent Infrastructure & Welfare Taskforce
